#;详细描述;Detailed description;Ətraflı təsviri;Malgöndərən/podratçının qeydləri;Part Number;Ad eng;Ad chn;Category;Factory Adress;iSTEHSALCI OLKE;Condition;Quality;Car Brand;Car marka;Part Year
2125;更换后刹车支架，包括备件。;Replacement of the rear brake support with a new one, including the spare part;Arxa əyləc supportunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;58300-1R300.Çin, Original;58300-1R300;Rear brake caliper;后刹车卡钳;Braking System;;China;New;Original;;;
2126;刹车油，包括更换;Brake fluid, including replacement;Əyləc mayesi, dəyişdirilməsi ilə birlikdə;DOT 4 Bendix Türkiyə;DOT 4;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
2127;更换动力转向系统（方向盘），包括备件。;Replacement of the power steering (steering wheel) with a new one, including spare parts;Sükan hidrogücləndiricisinin (rulevoyun) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;571004H200 .Çin, Original;571004H200;Power steering rack;转向助力齿条;Steering / Power Steering;;China;New;Original;;;
2128;动力转向油，包括更换;Power steering oil, including replacement;Sükan hidrogücləndiricisinin (rulevoyun) yağı, dəyişdirilməsi ilə birlikdə;ATF 3  Bendix,Türkiyə.;ATF 3;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
2129;更换水暖散热器，包括备件。;Replacing the water radiator with a new one, including spare parts;Su radiatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;235104H500 .Çin, Original;235104H500;Radiator;散热器;Engine / Cooling System;;China;New;Original;;;
2130;更换机油散热器，包括备件。;Replacing the oil radiator with a new one, including spare parts;Yağ radiatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;26410-27401.Çin, Original;26410-27401;Oil cooler;机油冷却器;Engine / Cooling System;;China;New;Original;;;
2131;更换取暖炉的散热器，包括备件。;Replacing the radiator of the heating stove with a new one, including spare parts;İstilik peçinin radiatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;971384H0000 .Çin, Original;971384H0000;Heater core;暖风散热器;Cooling / Heating System;;China;New;Original;;;
2132;更换恒温器，包括一个新的和备用的。;Replacing the thermostat with a new one, along with a spare part;Termostatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;2550025001. .Çin, Original;2550025001;Thermostat;恒温器;Engine / Cooling System;;China;New;Original;;;
2133;更换水温传感器，包括备件;Replacement of water temperature sensor, including spare part;Su temperaturu sensorunun (datçikinin) əvəz olunması, ehtiyat hissəsi ilə birlikdə;392207C100 .Çin, Original;392207C100;Coolant temperature sensor;冷却液温度传感器;Engine / Sensors;;China;New;Original;;;
2134;更换上部水暖散热器管道，包括备件;Replacement of the upper water radiator pipe, including spare part;Su radiatorunun üst borusunun (potrubkası) əvəz olunması, ehtiyat hissəsi ilə birlikdə;254114H100 .Çin, Original;254114H100;Upper radiator hose;散热器上水管;Engine / Cooling System;;China;New;Original;;;
2135;更换下部散热器管道，包括备件;Replacement of the lower radiator pipe, including spare part;Su radiatorunun alt borusunun (potrubkası) əvəz olunması, ehtiyat hissəsi ilə birlikdə;254124H100 .Çin, Original;254124H100;Lower radiator hose;散热器下水管;Engine / Cooling System;;China;New;Original;;;
2136;更换供暖炉管道（软管），包括备件;Replacement of the heating furnace pipe (hose), including spare part;İstilik peçinin borusunun (şlanqının) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;975424H000 .Çin, Original;975424H000;Heater hose;暖风水管;Cooling / Heating System;;China;New;Original;;;
2137;冲洗燃油喷射器;Flushing fuel injectors;Yanacaq forsunkalarının yuyulması;XİDMƏT.;XİDMƏT;.;.;;;China;New;Original;;;
2138;更换水泵，包括一个新的水泵和一个备用零件。;Replacing the water pump with a new one, along with a spare part;Su nasosunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;251102C000 .Çin, Original;251102C000;Water pump;水泵;Engine / Cooling System;;China;New;Original;;;
2139;燃油泵更换，包括备件;Fuel pump replacement, including spare part;Yanacaq nasosunun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;311110M000 .Çin, Original;311110M000;Fuel pump;燃油泵;Fuel System;;China;New;Original;;;
2140;更换起动机，包括一个新的和备用的零件。;Replacing the starter with a new one, along with a spare part;Starterin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;361002G200 .Çin, Original;361002G200;Starter motor;起动机;Engine / Starter;;China;New;Original;;;
2141;拆卸和维修起动传动装置（包括备件）;Dismantling and repairing the starter transmission (bendex), including spare parts;Starter intiqalının (bendeksinin) sökülüb təmir olunması, ehtiyat hissəsi ilə birlikdə;3611452E500 .Çin, Original;3611452E500;Starter drive;起动机单向器;Engine / Starter;;China;New;Original;;;
2142;更换启动开关（自动），包括备件;Replacement of starter switch (automatic), including spare part;Starter qoşucusunun (avtomatının) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;361202G200 .Çin, Original;361202G200;Starter solenoid;起动机电磁开关;Engine / Starter;;China;New;Original;;;
2143;启动器碳罐更换，含备件;Starter carbon replacement, with spare part;Starter kömürünün dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;9100580.Çin, Original;9100580;Starter brush;起动机碳刷;Engine / Starter;;China;New;Original;;;
2144;启动锚更换，包括备件;Starter anchor replacement, including spare part;Starter lövbərinin (yakorunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;361502E500 .Çin, Original;361502E500;Starter coil;起动机绕组;Engine / Starter;;China;New;Original;;;
2145;更换发电机，包括新的发电机和备用零件。;Replacement of the dynamo with a new one, along with spare parts;Dinamonun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;373002C300 .Çin, Original;373002C300;Alternator;发电机;Engine / Alternator;;China;New;Original;;;
2146;更换发电机继电器，包括备件;Replacement of the dynamo relay, including spare part;Dinamo relesinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;3737025110. .Çin, Original;3737025110;Alternator relay;发电机继电器;Engine / Alternator;;China;New;Original;;;
2147;更换发电机电枢（绕组），包括备件;Replacement of the dynamo armature (winding), including spare part;Dinamo lövbərinin (obmotka) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;37350‑25700.Çin, Original;37350‑25700;Alternator winding;发电机绕组;Engine / Alternator;;China;New;Original;;;
2148;发电机皮带更换，含备件;Dynamo belt replacement, with spare part;Dinamo qayışının dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;252122C001 .Çin, Original;252122C001;Alternator belt;发电机皮带;Engine / Belts;;China;New;Original;;;
2149;更换挡风玻璃雨刮电机，包括备件。;Replacing the windshield wiper motor with a new one, including spare parts;Şüşəsilənin motorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;981004H000 .Çin, Original;981004H000;Windshield wiper motor;雨刷电机;Accessories / Wipers;;China;New;Original;;;
2150;更换雨刮片，包括备用零件。;Replacing the wiper blades with new ones, including spare parts;Şüşəsilənin fırçalarının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;983603K000 .Çin, Original;983603K000;Windshield wiper blade;雨刷片;Accessories / Wipers;;China;New;Original;;;
2151;更换制动主缸，包括备件;Master brake cylinder replacement, including spare part;Baş əyləc (qlavnıy) silindrin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;585104H000 .Çin, Original;585104H000;Master cylinder;主缸;Braking System;;China;New;Original;;;
2152;离合器缸更换，包括备件;Clutch cylinder replacement, including spare part;Muftanın silindrinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;4171039001. .Çin, Original;4171039001;Clutch cylinder;离合器液压缸;Clutch System;;China;New;Original;;;
2153;更换挡风玻璃（底玻璃）;Replacing the windshield (underglaze) with a new one;Ön alın şüşəsinin (podpresin) yenisi ilə əvəz olunması;861104H130 .Çin, Original;861104H130;Front windshield;前挡风玻璃;Body / Glass;;China;New;Original;;;
2154;更换后减震器垫片（含备件）;Replacement of the rear shock absorber pad with a new one, including spare parts;Arxa amortizator yastığının yenisi ilə əvəz olunması, ehtiyat hissəsilə ilə birlikdə;552604H000 .Çin, Original;552604H000;Rear shock absorber mount;后减震器胶垫;Suspension;;China;New;Original;;;
2155;更换压力盘（杯状物），包括备件。;Replacing the pressure disc (cup) with a new one, including spare parts;Sıxıcı disk (çaşka) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;4130048700. .Çin, Original;4130048700;Clutch pressure plate;离合器压盘;Clutch System;;China;New;Original;;;
2156;用新的圆盘（feredo）替换磨损的圆盘，并附上备用零件。;Replacing the worn disc (feredo) with a new one, along with a spare part;Aparılan disk (feredo) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;4110048700. .Çin, Original;4110048700;Clutch disc;离合器摩擦片;Clutch System;;China;New;Original;;;
2157;更换离合器及离合器片（vizhimnoy），包括新的离合器片和备件。;Replacement of the clutch with the clutch pad (vizhimnoy) with a new one, along with the spare part;Sıxıcı mufta yastığı ilə birlikdə (vıjimnoy) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;4141249670. .Çin, Original;4141249670;Clutch release bearing;离合器分离轴承;Clutch System;;China;New;Original;;;
2158;更换万向轴横梁，包括备件。;Replacement of the cardan shaft cross member with a new one, including spare parts;Kardan valının çarpazının (krestovinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;491404H500 .Çin, Original;491404H500;Drive shaft cross;传动轴十字轴;Transmission / Drivetrain;;China;New;Original;;;
2159;更换启动开关（自动），包括备件;Replacement of starter switch (automatic), including spare part;Starter qoşucusunun (avtomatının) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;361202B110 .Çin, Original;361202B110;Starter solenoid;起动机电磁开关;Engine / Starter;;China;New;Original;;;
2160;启动器碳罐更换，含备件;Starter carbon replacement, with spare part;Starter kömürünün dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə ;361702B110 .Çin, Original;361702B110;Starter brush;起动机碳刷;Engine / Starter;;China;New;Original;;;
2161;启动锚更换，包括备件;Starter anchor replacement, including spare part;Starter lövbərinin (yakorunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;3615002555. .Çin, Original;3615002555;Starter coil;起动机绕组;Engine / Starter;;China;New;Original;;;
2162;更换发电机，包括新的发电机和备用零件。;Replacement of the dynamo with a new one, along with spare parts;Dinamonun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;373002B910 .Çin, Original;373002B910;Alternator;发电机;Engine / Alternator;;China;New;Original;;;
2163;更换发电机继电器，包括备件;Replacement of the dynamo relay, including spare part;Dinamo relesinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;373702A400 .Çin, Original;373702A400;Alternator relay;发电机继电器;Engine / Alternator;;China;New;Original;;;
2164;更换发电机电枢（绕组），包括备件;Replacement of the dynamo armature (winding), including spare part;Dinamo lövbərinin (obmotka) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;XİDMƏT.;XİDMƏT;.;.;;;China;New;Original;;;
2165;发电机皮带更换，含备件;Dynamo belt replacement, with spare part;Dinamo qayışının dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;252122B140 .Çin, Original;252122B140;Alternator belt;发电机皮带;Engine / Belts;;China;New;Original;;;
2166;更换挡风玻璃雨刮电机，包括备件。;Replacing the windshield wiper motor with a new one, including spare parts;Şüşəsilənin motorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;98110C5500 .Çin, Original;98110C5500;Windshield wiper motor;雨刷电机;Accessories / Wipers;;China;New;Original;;;
2167;更换雨刮片，包括备用零件。;Replacing the wiper blades with new ones, including spare parts;Şüşəsilənin fırçalarının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;98360AA100 .Çin, Original;98360AA100;Windshield wiper blade;雨刷片;Accessories / Wipers;;China;New;Original;;;
2168;更换制动主缸，包括备件;Master brake cylinder replacement, including spare part;Baş əyləc (qlavnıy) silindrin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;58510AA300 .Çin, Original;58510AA300;Master cylinder;主缸;Braking System;;China;New;Original;;;
2169;离合器缸更换，包括备件;Clutch cylinder replacement, including spare part;Muftanın silindrinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;4171023020.Çin, Original;4171023020;Clutch cylinder;离合器液压缸;Clutch System;;China;New;Original;;;
2170;更换挡风玻璃（底玻璃）;Replacing the windshield (underglaze) with a new one;Ön alın şüşəsinin (podpresin) yenisi ilə əvəz olunması;86111AA060 .Çin, Original;86111AA060;Front windshield;前挡风玻璃;Body / Glass;;China;New;Original;;;
2171;更换后减震器垫片（含备件）;Replacement of the rear shock absorber pad with a new one, including spare parts;Arxa amortizator yastığının yenisi ilə əvəz olunması, ehtiyat hissəsilə ilə birlikdə;55310AA000 .Çin, Original;55310AA000;Rear shock absorber mount;后减震器胶垫;Suspension;;China;New;Original;;;
2172;更换左前内挡泥板，使用新的内挡泥板，并附上备件。;Replacement of the front left inner fender with a new one, along with the spare part;Ön sol iç qranatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;49580G8150 .Çin, Original;49580G8150;Front left CV joint;左前等速万向节;Drivetrain;;China;New;Original;;;
